desi_J074556.94+334921.56.fits REJECT
desi_J161407.94+092630.78.fits REJECT
desi_J220900.78+002357.64.fits REJECT
desi_J133946.14+454905.00.fits REJECT
desi_J082313.29+000818.67.fits REJECT
desi_J095424.39-065239.03.fits REJECT
desi_J094613.72-014030.37.fits REJECT
desi_J171816.26+093537.77.fits REJECT
desi_J020530.54+265413.14.fits REJECT
desi_J131923.91-002620.48.fits REJECT
desi_J081614.21+035819.79.fits REJECT
desi_J143015.73-050220.99.fits REJECT
desi_J075326.12+403038.65.fits REJECT
desi_J091509.99+032342.06.fits REJECT
desi_J155829.16+085039.59.fits REJECT
desi_J083010.40+110657.71.fits REJECT
desi_J205401.07-062448.71.fits REJECT
desi_J141444.20+533555.63.fits REJECT
desi_J231924.72+100014.10.fits REJECT
desi_J162249.81+402344.32.fits REJECT
desi_J175403.99+353820.35.fits REJECT
desi_J021150.73+120949.92.fits REJECT
desi_J141603.50+034303.42.fits REJECT
desi_J103137.69-023935.66.fits REJECT
desi_J161010.14+385140.48.fits REJECT
desi_J011725.43+255207.86.fits REJECT
desi_J154518.73+242027.31.fits REJECT
desi_J141000.77-005921.39.fits REJECT
desi_J170752.55+121120.65.fits UNSURE
desi_J102728.36+001931.53.fits UNSURE
desi_J125906.05-055035.84.fits REJECT
desi_J161838.17+192110.43.fits REJECT
desi_J150259.51+342135.31.fits REJECT
desi_J160638.53+333432.97.fits UNSURE
desi_J143253.53+024309.02.fits REJECT
desi_J121141.68+035531.25.fits REJECT
desi_J080842.76+180123.30.fits REJECT
desi_J091206.72+771840.75.fits REJECT
desi_J023547.78+251856.25.fits REJECT
desi_J001631.66+020602.29.fits REJECT
desi_J013842.45+071754.05.fits REJECT
desi_J070142.41+560238.14.fits REJECT
desi_J032055.09-084634.51.fits REJECT
desi_J170731.36+234309.38.fits REJECT
desi_J095650.82+170903.47.fits REJECT
desi_J080559.22+123000.41.fits REJECT
desi_J131959.76+545017.86.fits REJECT
desi_J164744.13+020407.04.fits REJECT
desi_J131825.00+373457.90.fits REJECT
desi_J170226.44+045459.97.fits REJECT
desi_J150420.37+361655.32.fits REJECT
desi_J144623.66+374226.18.fits REJECT
desi_J132537.69+515004.19.fits REJECT
desi_J153743.44+174955.38.fits REJECT
desi_J231120.63+075451.05.fits REJECT
desi_J020224.68+145032.69.fits REJECT
desi_J102016.61+011402.28.fits REJECT
desi_J162825.27+461631.16.fits REJECT
desi_J150136.19+002320.75.fits REJECT
desi_J123751.11+053123.58.fits REJECT
desi_J012935.72+163041.04.fits REJECT
desi_J140918.94+272339.14.fits REJECT
desi_J142907.67+010613.23.fits REJECT
desi_J235406.31-002110.63.fits REJECT
desi_J122821.55+040805.84.fits REJECT
desi_J130351.18-042135.60.fits REJECT
desi_J114624.22+420914.28.fits REJECT
desi_J103813.62-081723.58.fits REJECT
desi_J003842.38-155157.93.fits REJECT
desi_J213333.24-121543.38.fits REJECT
desi_J141023.09+005838.48.fits REJECT
desi_J113923.45+035124.35.fits REJECT
desi_J020314.98-001211.44.fits REJECT
desi_J231741.87+120526.23.fits REJECT
desi_J161724.49+012549.48.fits REJECT
desi_J210354.08-012541.05.fits REJECT
desi_J141924.14+523616.50.fits REJECT
desi_J160725.76+281108.47.fits REJECT
desi_J072741.62+330327.94.fits REJECT
desi_J172544.82+151442.23.fits UNSURE
desi_J155211.95+105503.30.fits REJECT
desi_J065435.94+364333.92.fits REJECT
desi_J191649.81+684640.59.fits REJECT
desi_J145322.78+021807.74.fits REJECT
desi_J141758.35+032441.04.fits REJECT
desi_J022745.08+001659.44.fits REJECT
desi_J013114.11+263332.32.fits REJECT
desi_J084912.68-031324.47.fits REJECT
desi_J170817.16+314712.80.fits REJECT
desi_J024950.59+045646.31.fits REJECT
desi_J164039.64+100724.28.fits REJECT
desi_J095920.03+040446.13.fits REJECT
desi_J095727.86+051905.21.fits REJECT
desi_J121122.06+375402.99.fits REJECT
desi_J004612.20+090657.30.fits REJECT
desi_J010652.33+274615.34.fits REJECT
desi_J054203.06-200338.95.fits REJECT
desi_J081344.95+342726.84.fits REJECT
desi_J230157.90-111701.65.fits REJECT
desi_J225544.09+311900.71.fits REJECT
desi_J111802.18-041647.22.fits REJECT
desi_J074525.63+214608.63.fits REJECT
desi_J092402.88+064241.10.fits REJECT
desi_J004626.65-031610.85.fits REJECT
desi_J105636.72+321848.59.fits REJECT
desi_J114432.93-032530.48.fits REJECT
desi_J123636.36+374305.84.fits REJECT
desi_J105129.97-025002.66.fits REJECT
desi_J144245.75+020115.19.fits REJECT
desi_J083020.67+025848.39.fits REJECT
desi_J231849.20+203232.23.fits REJECT
desi_J232501.50-062408.63.fits REJECT
desi_J143939.80+035710.63.fits REJECT
desi_J224211.99-063314.15.fits REJECT
